Test Title:	System_Review						
Date:	2011-10-16						
Time:	12:52						
Operator Name:	Zach Miers						
Comment:	Overview of test system						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Roll  [deg]Start: 	0.000000	Stop	90.000000	Increment	90.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Step Axis :Roll  [deg]	0.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-21.586	-124.828	
-175.00	-22.142	-133.266	
-170.00	-23.903	-141.050	
-165.00	-26.590	-146.702	
-160.00	-30.650	-148.188	
-155.00	-35.307	-162.865	
-150.00	-39.414	-179.624	
-145.00	-35.507	136.812	
-140.00	-30.989	131.879	
-135.00	-28.432	133.786	
-130.00	-27.838	137.337	
-125.00	-28.986	141.174	
-120.00	-32.776	147.633	
-115.00	-41.045	167.518	
-110.00	-46.918	26.724	
-105.00	-31.735	38.567	
-100.00	-26.198	42.080	
-95.00	-23.089	45.707	
-90.00	-21.259	54.092	
-85.00	-19.925	65.261	
-80.00	-18.861	77.918	
-75.00	-18.332	91.183	
-70.00	-17.176	113.225	
-65.00	-15.961	131.560	
-60.00	-14.372	149.192	
-55.00	-12.975	168.370	
-50.00	-12.147	-174.254	
-45.00	-10.465	-160.780	
-40.00	-9.156	-146.040	
-35.00	-8.769	-135.040	
-30.00	-7.813	-123.072	
-25.00	-7.872	-111.979	
-20.00	-7.414	-102.057	
-15.00	-7.051	-94.274	
-10.00	-7.147	-86.579	
-5.00	-7.040	-83.244	
0.00	-7.130	-77.917	
5.00	-7.112	-75.418	
10.00	-7.593	-73.248	
15.00	-7.940	-74.269	
20.00	-8.658	-76.737	
25.00	-8.860	-79.987	
30.00	-9.408	-85.995	
35.00	-10.135	-92.912	
40.00	-10.798	-95.587	
45.00	-11.189	-103.934	
50.00	-12.352	-113.293	
55.00	-13.322	-119.174	
60.00	-14.569	-126.340	
65.00	-15.766	-136.434	
70.00	-16.828	-140.141	
75.00	-17.741	-138.435	
80.00	-17.899	-142.814	
85.00	-17.922	-144.041	
90.00	-18.713	-153.718	
95.00	-20.459	-159.920	
100.00	-22.689	-177.626	
105.00	-23.974	150.964	
110.00	-23.980	116.371	
115.00	-22.544	92.852	
120.00	-21.888	77.681	
125.00	-21.819	66.288	
130.00	-22.072	49.579	
135.00	-22.088	34.515	
140.00	-21.693	23.496	
145.00	-23.051	13.409	
150.00	-24.910	1.401	
155.00	-28.157	-24.802	
160.00	-28.258	-68.030	
165.00	-25.668	-96.442	
170.00	-23.526	-111.387	
175.00	-22.056	-118.211	
180.00	-21.785	-123.604	
Frequency	1.575	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-21.884	-123.896	
-175.00	-21.787	-133.193	
-170.00	-23.224	-137.374	
-165.00	-25.794	-146.910	
-160.00	-29.701	-150.841	
-155.00	-33.959	-157.619	
-150.00	-38.213	-179.799	
-145.00	-36.164	145.815	
-140.00	-32.919	133.796	
-135.00	-29.265	135.777	
-130.00	-27.139	136.044	
-125.00	-28.084	140.534	
-120.00	-30.922	150.212	
-115.00	-37.276	154.182	
-110.00	-56.027	54.737	
-105.00	-35.055	29.650	
-100.00	-27.639	34.777	
-95.00	-24.116	42.281	
-90.00	-21.327	50.745	
-85.00	-19.986	60.344	
-80.00	-19.022	72.012	
-75.00	-18.120	87.092	
-70.00	-17.507	103.626	
-65.00	-16.303	126.575	
-60.00	-15.041	144.490	
-55.00	-13.696	161.799	
-50.00	-12.198	177.983	
-45.00	-11.092	-164.469	
-40.00	-9.955	-152.302	
-35.00	-9.139	-138.229	
-30.00	-8.615	-129.214	
-25.00	-8.038	-117.065	
-20.00	-7.505	-108.623	
-15.00	-7.226	-96.342	
-10.00	-7.185	-90.728	
-5.00	-7.063	-84.070	
0.00	-7.333	-78.436	
5.00	-7.143	-75.418	
10.00	-7.694	-75.380	
15.00	-7.938	-75.024	
20.00	-8.097	-77.140	
25.00	-9.249	-78.274	
30.00	-9.924	-82.952	
35.00	-10.235	-88.647	
40.00	-11.153	-92.344	
45.00	-11.178	-100.962	
50.00	-12.190	-107.948	
55.00	-13.425	-117.444	
60.00	-13.998	-125.129	
65.00	-15.418	-132.947	
70.00	-16.464	-137.580	
75.00	-17.045	-137.763	
80.00	-17.846	-142.838	
85.00	-18.218	-141.781	
90.00	-18.582	-148.578	
95.00	-19.764	-154.503	
100.00	-21.604	-170.394	
105.00	-23.846	161.981	
110.00	-23.975	128.387	
115.00	-23.041	100.116	
120.00	-22.385	84.821	
125.00	-21.251	70.609	
130.00	-21.767	55.135	
135.00	-22.178	38.636	
140.00	-21.972	25.966	
145.00	-22.716	17.811	
150.00	-24.541	3.330	
155.00	-27.070	-16.639	
160.00	-28.954	-54.577	
165.00	-26.802	-91.805	
170.00	-23.662	-108.012	
175.00	-22.596	-116.247	
180.00	-22.131	-124.435	
