Test Title:	System_Review						
Date:	2011-10-16						
Time:	12:43						
Operator Name:	Zach Miers						
Comment:	Overview of test system						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Roll  [deg]Start: 	0.000000	Stop	90.000000	Increment	90.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Step Axis :Roll  [deg]	0.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-60.443	-123.942	
-175.00	-18.740	91.399	
-170.00	-19.238	90.808	
-165.00	-20.216	90.964	
-160.00	-21.438	94.866	
-155.00	-24.050	99.933	
-150.00	-30.088	113.379	
-145.00	-32.245	-161.544	
-140.00	-27.084	-131.851	
-135.00	-23.939	-106.894	
-130.00	-21.566	-84.450	
-125.00	-19.666	-70.680	
-120.00	-18.056	-62.638	
-115.00	-17.581	-40.578	
-110.00	-16.266	-28.064	
-105.00	-15.886	-1.211	
-100.00	-14.652	13.981	
-95.00	-13.602	35.572	
-90.00	-12.572	60.371	
-85.00	-11.431	76.839	
-80.00	-10.948	97.976	
-75.00	-9.806	120.749	
-70.00	-9.072	142.140	
-65.00	-7.892	157.929	
-60.00	-6.508	173.993	
-55.00	-5.436	-167.446	
-50.00	-4.173	-145.092	
-45.00	-2.772	-130.979	
-40.00	-1.943	-118.529	
-35.00	-0.891	-105.299	
-30.00	-0.109	-97.404	
-25.00	0.787	-86.957	
-20.00	2.071	-77.719	
-15.00	2.453	-71.421	
-10.00	2.366	-68.161	
-5.00	3.120	-60.778	
0.00	3.010	-58.564	
5.00	2.972	-57.927	
10.00	3.462	-53.422	
15.00	2.730	-57.227	
20.00	2.047	-63.539	
25.00	2.373	-61.644	
30.00	1.187	-67.017	
35.00	0.784	-74.536	
40.00	0.210	-80.885	
45.00	-0.900	-92.019	
50.00	-1.842	-99.449	
55.00	-2.941	-109.505	
60.00	-3.357	-125.501	
65.00	-5.031	-139.516	
70.00	-5.949	-150.128	
75.00	-7.874	-166.761	
80.00	-9.788	171.685	
85.00	-10.696	153.409	
90.00	-12.228	128.147	
95.00	-12.870	100.910	
100.00	-13.428	78.228	
105.00	-13.975	57.222	
110.00	-14.064	43.985	
115.00	-15.331	25.112	
120.00	-16.736	6.195	
125.00	-18.946	-11.370	
130.00	-20.987	-36.270	
135.00	-22.967	-64.058	
140.00	-25.099	-95.409	
145.00	-26.227	-145.427	
150.00	-23.171	171.562	
155.00	-21.406	155.359	
160.00	-19.680	139.338	
165.00	-18.555	125.202	
170.00	-17.912	116.945	
175.00	-18.327	105.786	
180.00	-17.809	95.283	
Frequency	1.575	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-18.114	94.866	
-175.00	-18.269	87.948	
-170.00	-19.801	93.162	
-165.00	-20.866	92.867	
-160.00	-22.862	95.978	
-155.00	-27.102	106.665	
-150.00	-33.869	172.303	
-145.00	-27.959	-139.556	
-140.00	-24.873	-115.430	
-135.00	-22.074	-94.654	
-130.00	-20.220	-73.953	
-125.00	-19.039	-64.994	
-120.00	-17.194	-46.370	
-115.00	-16.890	-29.738	
-110.00	-15.454	-12.735	
-105.00	-14.838	10.221	
-100.00	-14.711	30.177	
-95.00	-12.661	50.701	
-90.00	-11.631	77.226	
-85.00	-10.730	92.727	
-80.00	-9.400	111.725	
-75.00	-9.006	130.550	
-70.00	-8.062	153.646	
-65.00	-7.051	168.851	
-60.00	-5.752	-172.307	
-55.00	-4.447	-150.914	
-50.00	-3.307	-138.323	
-45.00	-2.271	-124.138	
-40.00	-0.933	-108.192	
-35.00	0.343	-100.299	
-30.00	1.292	-86.737	
-25.00	1.753	-78.639	
-20.00	2.103	-75.520	
-15.00	2.056	-64.926	
-10.00	2.136	-62.058	
-5.00	2.993	-60.524	
0.00	3.204	-58.546	
5.00	2.690	-54.641	
10.00	2.904	-55.927	
15.00	2.755	-56.212	
20.00	2.241	-60.537	
25.00	1.790	-63.855	
30.00	1.383	-69.748	
35.00	-0.085	-75.616	
40.00	-0.518	-88.842	
45.00	-1.749	-98.493	
50.00	-2.813	-107.019	
55.00	-3.539	-120.327	
60.00	-4.044	-136.510	
65.00	-5.409	-146.202	
70.00	-7.469	-159.771	
75.00	-9.091	178.950	
80.00	-10.185	159.385	
85.00	-11.768	137.142	
90.00	-13.184	111.856	
95.00	-13.810	86.091	
100.00	-13.399	66.248	
105.00	-13.742	47.419	
110.00	-14.934	27.009	
115.00	-16.784	11.369	
120.00	-17.651	-4.867	
125.00	-19.753	-31.080	
130.00	-21.896	-54.188	
135.00	-24.790	-87.080	
140.00	-26.661	-131.202	
145.00	-24.935	-172.552	
150.00	-22.526	159.555	
155.00	-20.181	144.028	
160.00	-18.900	128.358	
165.00	-18.149	120.758	
170.00	-17.606	108.491	
175.00	-17.985	98.089	
180.00	-18.277	91.590	
