Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:37						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.176000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.176	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-70.198	-178.889	
-175.00	-70.748	-176.635	
-170.00	-71.209	-171.026	
-165.00	-71.370	-163.120	
-160.00	-71.033	-157.033	
-155.00	-70.873	-154.548	
-150.00	-71.262	-155.889	
-145.00	-72.948	-157.642	
-140.00	-75.299	-151.463	
-135.00	-76.553	-139.687	
-130.00	-76.159	-139.660	
-125.00	-75.809	-154.490	
-120.00	-75.013	-173.436	
-115.00	-73.186	172.335	
-110.00	-70.526	162.020	
-105.00	-68.425	154.561	
-100.00	-67.371	149.466	
-95.00	-67.004	148.787	
-90.00	-66.833	152.135	
-85.00	-66.752	154.765	
-80.00	-67.093	157.579	
-75.00	-67.640	162.324	
-70.00	-68.127	168.862	
-65.00	-68.479	173.521	
-60.00	-69.330	175.345	
-55.00	-70.907	176.209	
-50.00	-73.106	177.585	
-45.00	-75.870	-179.992	
-40.00	-78.785	176.981	
-35.00	-81.709	156.349	
-30.00	-80.931	117.681	
-25.00	-76.642	95.250	
-20.00	-72.746	83.551	
-15.00	-69.746	76.495	
-10.00	-67.560	71.931	
-5.00	-65.772	68.415	
0.00	-64.457	65.449	
5.00	-63.506	62.960	
10.00	-62.915	60.779	
15.00	-62.474	57.491	
20.00	-62.122	53.089	
25.00	-61.783	48.190	
30.00	-61.423	42.624	
35.00	-61.083	37.471	
40.00	-60.959	32.303	
45.00	-60.984	27.019	
50.00	-61.170	20.966	
55.00	-61.394	14.443	
60.00	-61.635	7.372	
65.00	-61.974	0.954	
70.00	-62.360	-5.371	
75.00	-62.917	-11.712	
80.00	-63.467	-17.102	
85.00	-64.130	-23.062	
90.00	-64.685	-28.764	
95.00	-65.150	-34.017	
100.00	-65.452	-37.039	
105.00	-65.782	-36.832	
110.00	-66.379	-34.346	
115.00	-67.543	-29.301	
120.00	-69.392	-24.616	
125.00	-71.471	-23.534	
130.00	-72.982	-27.746	
135.00	-73.191	-29.589	
140.00	-72.951	-22.587	
145.00	-73.233	-8.003	
150.00	-73.780	12.077	
155.00	-74.560	35.736	
160.00	-75.102	60.258	
165.00	-75.516	84.397	
170.00	-75.711	105.138	
175.00	-75.646	123.040	
180.00	-75.517	140.200	
