Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:47						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.176000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.176	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-76.680	72.160	
-175.00	-83.891	83.310	
-170.00	-83.934	-176.851	
-165.00	-76.204	-155.815	
-160.00	-72.223	-150.172	
-155.00	-69.717	-144.636	
-150.00	-67.600	-137.172	
-145.00	-65.829	-132.120	
-140.00	-64.682	-128.567	
-135.00	-64.174	-124.593	
-130.00	-64.230	-117.201	
-125.00	-64.463	-104.712	
-120.00	-64.249	-89.289	
-115.00	-63.733	-76.481	
-110.00	-63.709	-65.967	
-105.00	-64.249	-52.782	
-100.00	-64.827	-36.083	
-95.00	-65.128	-17.774	
-90.00	-65.405	0.994	
-85.00	-65.163	21.202	
-80.00	-64.720	37.609	
-75.00	-64.599	51.550	
-70.00	-64.581	64.964	
-65.00	-64.437	76.218	
-60.00	-64.425	83.459	
-55.00	-64.900	87.297	
-50.00	-65.717	89.342	
-45.00	-66.722	88.695	
-40.00	-67.443	82.695	
-35.00	-67.793	70.993	
-30.00	-67.208	57.330	
-25.00	-65.828	46.071	
-20.00	-64.016	37.141	
-15.00	-62.434	31.306	
-10.00	-61.117	27.118	
-5.00	-59.890	25.374	
0.00	-58.762	24.025	
5.00	-57.935	23.163	
10.00	-57.322	22.592	
15.00	-56.810	21.538	
20.00	-56.415	20.375	
25.00	-56.199	18.240	
30.00	-55.965	15.235	
35.00	-55.854	11.693	
40.00	-55.834	7.263	
45.00	-55.876	2.552	
50.00	-56.150	-3.188	
55.00	-56.653	-10.707	
60.00	-57.221	-19.839	
65.00	-57.797	-30.883	
70.00	-58.358	-42.329	
75.00	-58.970	-54.445	
80.00	-59.529	-67.766	
85.00	-59.958	-81.968	
90.00	-60.245	-95.601	
95.00	-60.412	-107.909	
100.00	-60.504	-117.007	
105.00	-61.017	-123.879	
110.00	-61.964	-129.031	
115.00	-63.327	-133.316	
120.00	-65.076	-136.142	
125.00	-67.573	-136.981	
130.00	-71.507	-136.150	
135.00	-79.327	-132.836	
140.00	-89.648	29.881	
145.00	-76.292	37.452	
150.00	-71.924	35.241	
155.00	-69.408	30.966	
160.00	-67.936	26.927	
165.00	-67.220	22.208	
170.00	-67.175	16.940	
175.00	-68.003	11.687	
180.00	-69.950	4.947	
