Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:33						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.575000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.575	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-66.529	119.325	
-175.00	-68.482	124.478	
-170.00	-70.324	130.557	
-165.00	-71.903	138.025	
-160.00	-72.997	144.585	
-155.00	-73.853	146.923	
-150.00	-74.919	144.213	
-145.00	-76.103	139.750	
-140.00	-76.643	135.710	
-135.00	-76.164	128.793	
-130.00	-74.953	123.569	
-125.00	-73.896	120.066	
-120.00	-72.914	122.555	
-115.00	-72.417	129.978	
-110.00	-71.654	142.276	
-105.00	-71.189	155.936	
-100.00	-70.826	170.891	
-95.00	-70.761	-169.010	
-90.00	-70.695	-144.348	
-85.00	-70.204	-121.875	
-80.00	-69.231	-96.473	
-75.00	-68.002	-76.666	
-70.00	-66.958	-59.021	
-65.00	-65.634	-43.091	
-60.00	-64.566	-25.439	
-55.00	-63.759	-8.993	
-50.00	-63.141	8.578	
-45.00	-62.125	26.555	
-40.00	-60.799	42.124	
-35.00	-59.729	55.435	
-30.00	-58.654	67.831	
-25.00	-57.514	78.348	
-20.00	-56.367	87.494	
-15.00	-55.293	93.558	
-10.00	-54.680	99.255	
-5.00	-53.900	104.217	
0.00	-53.520	106.134	
5.00	-53.266	108.007	
10.00	-53.219	108.094	
15.00	-53.129	106.907	
20.00	-53.393	104.755	
25.00	-53.828	100.932	
30.00	-54.304	97.159	
35.00	-54.935	91.486	
40.00	-55.594	84.948	
45.00	-56.556	76.413	
50.00	-57.394	67.443	
55.00	-58.499	56.428	
60.00	-59.854	44.473	
65.00	-61.253	32.321	
70.00	-62.900	17.033	
75.00	-64.425	1.819	
80.00	-66.238	-14.321	
85.00	-68.006	-34.236	
90.00	-69.749	-56.329	
95.00	-71.418	-80.801	
100.00	-72.241	-107.137	
105.00	-72.906	-127.293	
110.00	-73.779	-143.003	
115.00	-75.260	-153.583	
120.00	-78.458	-155.717	
125.00	-85.900	-137.818	
130.00	-86.184	-46.592	
135.00	-79.028	-25.407	
140.00	-75.763	-22.877	
145.00	-73.962	-25.251	
150.00	-73.172	-28.032	
155.00	-73.223	-29.826	
160.00	-74.077	-32.888	
165.00	-75.764	-36.853	
170.00	-78.696	-44.137	
175.00	-82.939	-58.508	
180.00	-87.350	-100.604	
