Test Title:	ETEN10 lab 1						
Date:	2011-10-16						
Time:	13:25						
Operator Name:	Ben Nel						
Comment:	Vert						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-180.000000	Stop	180.000000	Increment	5.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	1.176000
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	1.176	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-51.262	-127.657	
-175.00	-52.433	-127.352	
-170.00	-53.315	-126.810	
-165.00	-53.947	-125.908	
-160.00	-54.452	-125.234	
-155.00	-55.000	-123.982	
-150.00	-55.719	-121.800	
-145.00	-56.585	-117.951	
-140.00	-57.653	-111.909	
-135.00	-58.932	-103.668	
-130.00	-60.480	-91.846	
-125.00	-62.032	-74.742	
-120.00	-63.281	-52.395	
-115.00	-64.121	-26.083	
-110.00	-64.121	6.484	
-105.00	-62.160	36.791	
-100.00	-59.862	57.517	
-95.00	-57.763	73.764	
-90.00	-55.917	88.746	
-85.00	-54.190	101.628	
-80.00	-52.783	113.081	
-75.00	-51.471	125.081	
-70.00	-50.228	136.280	
-65.00	-49.146	147.059	
-60.00	-48.169	157.241	
-55.00	-47.303	168.254	
-50.00	-46.476	178.857	
-45.00	-45.667	-171.786	
-40.00	-44.943	-162.925	
-35.00	-44.243	-154.437	
-30.00	-43.701	-146.530	
-25.00	-43.261	-139.265	
-20.00	-42.810	-132.241	
-15.00	-42.400	-126.473	
-10.00	-42.031	-121.825	
-5.00	-41.679	-117.783	
0.00	-41.422	-114.575	
5.00	-41.274	-112.187	
10.00	-41.215	-111.021	
15.00	-41.246	-110.863	
20.00	-41.401	-111.412	
25.00	-41.651	-113.028	
30.00	-41.957	-115.465	
35.00	-42.435	-118.346	
40.00	-42.987	-121.942	
45.00	-43.638	-126.437	
50.00	-44.377	-131.269	
55.00	-45.177	-136.699	
60.00	-45.999	-142.352	
65.00	-46.904	-148.308	
70.00	-47.864	-154.693	
75.00	-48.822	-161.768	
80.00	-49.814	-169.367	
85.00	-50.868	-177.043	
90.00	-51.933	174.440	
95.00	-53.070	165.461	
100.00	-54.222	156.109	
105.00	-55.453	145.971	
110.00	-56.748	135.325	
115.00	-58.248	124.223	
120.00	-59.959	111.284	
125.00	-61.592	95.407	
130.00	-62.837	77.870	
135.00	-63.833	61.776	
140.00	-64.897	48.096	
145.00	-66.524	35.152	
150.00	-69.000	18.918	
155.00	-71.981	-10.581	
160.00	-72.137	-55.624	
165.00	-69.113	-87.296	
170.00	-66.186	-102.490	
175.00	-63.870	-110.342	
180.00	-62.139	-114.925	
